,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 10,481 "," 4,322 "," 11,173 "," 62,499 "," 21,973 "," 19,946 "," 25,129 "," 9,777 "," 165,300 ",,,,,,,,,
CYPRUS, 2 , 1 , 1 , 7 , 1 , 2 , 5 , -   , 19 ,,,,,,,,,
"GAMBIA, THE", -   , -   , -   , 1 , 3 , 5 , 2 , 5 , 16 ,,,,,,,,,
GRENADA, 1 , -   , -   , 3 , -   , 8 , 4 , -   , 16 ,,,,,,,,,
CONGO (BRAZZAVILLE), 1 , -   , 2 , -   , 3 , 6 , 2 , 1 , 15 ,,,,,,,,,
ESTONIA, 2 , 2 , -   , 3 , 2 , 2 , 2 , 1 , 14 ,,,,,,,,,
"PALESTINE, STATE OF", 1 , -   , -   , 3 , -   , 7 , 2 , 1 , 14 ,,,,,,,,,
MONTENEGRO, 2 , 1 , 2 , 2 , 2 , -   , 2 , 2 , 13 ,,,,,,,,,
SIERRA LEONE, -   , -   , -   , 3 , 7 , 1 , 2 , -   , 13 ,,,,,,,,,
BELIZE, -   , -   , -   , 3 , 1 , 3 , 2 , 3 , 12 ,,,,,,,,,
BURKINA FASO, -   , -   , -   , -   , 5 , 2 , 3 , 2 , 12 ,,,,,,,,,
MAURITIUS, 1 , -   , 3 , 3 , 3 , -   , 1 , 1 , 12 ,,,,,,,,,
NAMIBIA, 1 , -   , 2 , -   , 4 , 2 , -   , 3 , 12 ,,,,,,,,,
MOZAMBIQUE, 3 , -   , 3 , 1 , 3 , -   , -   , -   , 10 ,,,,,,,,,
ANGOLA, 1 , -   , 2 , -   , 4 , 1 , 1 , -   , 9 ,,,,,,,,,
BENIN, 1 , 1 , 1 , 1 , 2 , 1 , -   , 2 , 9 ,,,,,,,,,
BOTSWANA, -   , -   , -   , 3 , 3 , 2 , -   , 1 , 9 ,,,,,,,,,
CUBA, 2 , -   , 1 , -   , 4 , -   , -   , 2 , 9 ,,,,,,,,,
