file_hash_sha256,sheet_index,sheet_name,max_row,max_column,detected_table_type,detection_confidence
37c0fed51d0b38894379ec3cb9a973f0d812471b0a0e57bb2413f53840fe8482,0,PDF Text,297,1,preference_country,0.7000
8e877617015fc6a65c22346828d9e321a0cbd6e927a80aa0648780ba01aea1a4,0,CSV,327,12,preference_country,0.8500
058bf7c68fb3b3cae4c9e0006bd4d26e99b393ec2c7938e68d5910d848391862,0,CSV,422,15,preference_country,0.8500
3eb35c36cd80f317bf1391085cce2aa957a35c4e90b0879f88af76b914b30bb6,0,CSV,426,14,preference_country,0.8500
3e8eee6c7797e6afff0c4f499339e65b186496a17e25b0fe0847fe24ff18fe96,0,CSV,343,13,preference_country,0.8500
76327962576cc0afa83571c74d35e1b634513424ed9b01ab86cb7faa0c474d7b,0,CSV,58,13,preference_country,0.8500
0c347823463b0dce8daf46dd7295411e0f9dd17427b2a351285814ff7bf919fe,0,CSV,58,13,preference_country,0.8500
893ad7ea8e49c19d89c7301b5f03dabd23dcb5209af066763323edbf2f66fb0d,0,All Countries FY24,59,26,preference_country,0.9500
893ad7ea8e49c19d89c7301b5f03dabd23dcb5209af066763323edbf2f66fb0d,1,India FY24,59,26,preference_country,0.9500
893ad7ea8e49c19d89c7301b5f03dabd23dcb5209af066763323edbf2f66fb0d,2,China FY24,59,27,preference_country,0.9500
893ad7ea8e49c19d89c7301b5f03dabd23dcb5209af066763323edbf2f66fb0d,3,Philippines FY24,59,26,preference_country,0.9500
893ad7ea8e49c19d89c7301b5f03dabd23dcb5209af066763323edbf2f66fb0d,4,Brazil FY24,59,27,preference_country,0.9500
893ad7ea8e49c19d89c7301b5f03dabd23dcb5209af066763323edbf2f66fb0d,5,Nigeria FY24,59,24,preference_country,0.9500
1304f86bb74b07863108778f053716ee2897847b8e68c6b1d8ec4c335cc39104,0,All_Countries_FY24,59,26,preference_country,0.9500
1304f86bb74b07863108778f053716ee2897847b8e68c6b1d8ec4c335cc39104,1,India_FY24,59,26,preference_country,0.9500
1304f86bb74b07863108778f053716ee2897847b8e68c6b1d8ec4c335cc39104,2,China_FY24,59,27,preference_country,0.9500
1304f86bb74b07863108778f053716ee2897847b8e68c6b1d8ec4c335cc39104,3,Philippines_FY24,59,26,preference_country,0.9500
1304f86bb74b07863108778f053716ee2897847b8e68c6b1d8ec4c335cc39104,4,Brazil_FY24,59,27,preference_country,0.9500
1304f86bb74b07863108778f053716ee2897847b8e68c6b1d8ec4c335cc39104,5,Nigeria_FY24,59,24,preference_country,0.9500
a4196aaee8c9866d1d05c5de115e1403c9d6dbdf66ecd8f2fb044b1d06ebfcd8,0,All_Countries_FY24,59,26,preference_country,0.9500
a4196aaee8c9866d1d05c5de115e1403c9d6dbdf66ecd8f2fb044b1d06ebfcd8,1,India_FY24,59,26,preference_country,0.9500
a4196aaee8c9866d1d05c5de115e1403c9d6dbdf66ecd8f2fb044b1d06ebfcd8,2,China_FY24,59,27,preference_country,0.9500
a4196aaee8c9866d1d05c5de115e1403c9d6dbdf66ecd8f2fb044b1d06ebfcd8,3,Philippines_FY24,59,26,preference_country,0.9500
a4196aaee8c9866d1d05c5de115e1403c9d6dbdf66ecd8f2fb044b1d06ebfcd8,4,Brazil_FY24,59,27,preference_country,0.9500
a4196aaee8c9866d1d05c5de115e1403c9d6dbdf66ecd8f2fb044b1d06ebfcd8,5,Nigeria_FY24,59,24,preference_country,0.9500
7cd1708a2c89b8043ca09b35fec67676ccb2beb71d8c018891997e2765669a09,0,All Countries FY24,58,13,preference_country,0.9500
7cd1708a2c89b8043ca09b35fec67676ccb2beb71d8c018891997e2765669a09,1,India FY24,58,13,preference_country,0.9500
7cd1708a2c89b8043ca09b35fec67676ccb2beb71d8c018891997e2765669a09,2,China FY24,58,13,preference_country,0.9500
7cd1708a2c89b8043ca09b35fec67676ccb2beb71d8c018891997e2765669a09,3,Philippines FY24,58,13,preference_country,0.9500
7cd1708a2c89b8043ca09b35fec67676ccb2beb71d8c018891997e2765669a09,4,Brazil FY24,58,13,preference_country,0.9500
7cd1708a2c89b8043ca09b35fec67676ccb2beb71d8c018891997e2765669a09,5,Nigeria FY24,58,13,preference_country,0.9500
0157e9f3c41da1665fd8a4c3b3f5b5e2fcf496e7feab15a7c2bb5f88829a56b6,0,All Countries FY24,58,14,preference_country,0.9500
