fiscal_year,fiscal_quarter,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names,period,period_label,decided,approval_decided,denial_decided,approval_received,denial_received
2024,4,NIW,National Interest Waiver,18613,5396,3427,44093,0.2899049051738032,0.1841186267662386,0.6115833616683667,0.3884166383316332,2.368935690109064,4,i140_fy2024_q4.xlsx,2024Q4,2024 Q4,8823,0.6115833616683668,0.38841663833163326,0.28990490517380324,0.18411862676623866
2024,4,TOTAL,Total,56835,38248,5521,112206,0.6729656021817542,0.0971408463094923,0.8738604948707989,0.126139505129201,1.9742412245975192,4,i140_fy2024_q4.xlsx,2024Q4,2024 Q4,43769,0.873860494870799,0.12613950512920102,0.6729656021817542,0.09714084630949239
2025,1,E11,Aliens with Extraordinary Ability,7370,3227,1091,13526,0.4378561736770691,0.1480325644504748,0.7473367299675775,0.2526632700324224,1.83527815468114,4,i140_fy2025_q4_v1.xlsx,2025Q1,2025 Q1,4318,0.7473367299675776,0.2526632700324224,0.4378561736770692,0.14803256445047488
2025,1,EB1,First Preference,13493,7425,1194,23486,0.5502853331356999,0.0884903283183873,0.8614688478941872,0.1385311521058127,1.740606240272734,4,i140_fy2025_q4_v1.xlsx,2025Q1,2025 Q1,8619,0.8614688478941872,0.13853115210581274,0.5502853331356999,0.08849032831838731
2025,1,EB2,Second Preference,28437,14369,2946,68170,0.5052924007455076,0.1035974258888068,0.8298585041871209,0.170141495812879,2.3972289622674685,4,i140_fy2025_q4_v1.xlsx,2025Q1,2025 Q1,17315,0.829858504187121,0.17014149581287902,0.5052924007455076,0.10359742588880684
2025,1,NIW,National Interest Waiver,20141,4683,2790,56611,0.2325107988679807,0.1385234099597835,0.6266559614612605,0.3733440385387394,2.81073432302269,4,i140_fy2025_q4_v1.xlsx,2025Q1,2025 Q1,7473,0.6266559614612606,0.3733440385387395,0.23251079886798073,0.13852340995978352
2025,1,TOTAL,Total,57942,32767,4362,132060,0.5655137896517206,0.0752821787304545,0.8825177085297207,0.1174822914702792,2.279175727451589,4,i140_fy2025_q4_v1.xlsx,2025Q1,2025 Q1,37129,0.8825177085297207,0.11748229147027929,0.5655137896517207,0.07528217873045459
2025,2,E11,Aliens with Extraordinary Ability,7277,3402,1276,16093,0.4675003435481654,0.1753469836471073,0.7272338606241983,0.2727661393758016,2.2114882506527413,4,i140_fy2025_q4_v1.xlsx,2025Q2,2025 Q2,4678,0.7272338606241984,0.27276613937580163,0.46750034354816544,0.17534698364710732
2025,2,EB1,First Preference,12762,7753,1400,27124,0.6075066603980567,0.109700673875568,0.8470446848027968,0.1529553151972031,2.125372198714935,4,i140_fy2025_q4_v1.xlsx,2025Q2,2025 Q2,9153,0.8470446848027969,0.1529553151972031,0.6075066603980568,0.10970067387556809
2025,2,EB2,Second Preference,28701,17675,3278,76128,0.6158322009686072,0.1142120483606842,0.843554622249797,0.1564453777502028,2.6524511341068253,4,i140_fy2025_q4_v1.xlsx,2025Q2,2025 Q2,20953,0.8435546222497972,0.15644537775020284,0.6158322009686074,0.1142120483606843
2025,2,NIW,National Interest Waiver,17610,6591,3206,64475,0.3742759795570698,0.1820556501987507,0.6727569664182913,0.3272430335817086,3.6612720045428735,4,i140_fy2025_q4_v1.xlsx,2025Q2,2025 Q2,9797,0.6727569664182913,0.3272430335817087,0.37427597955706987,0.18205565019875072
2025,2,TOTAL,Total,58017,36311,4900,149327,0.6258682799869003,0.084458003688574,0.8810997063890708,0.1189002936109291,2.573849044245652,4,i140_fy2025_q4_v1.xlsx,2025Q2,2025 Q2,41211,0.8810997063890709,0.11890029361092912,0.6258682799869004,0.08445800368857403
